failure_modes,redundancy_systems,emergency_procedures,vibration_levels,acoustic_levels
guidance_failure,dual_redundancy,safe_mode,2.2507164209112585,76.96506323908524
structural_failure,none,abort,5.047347631953208,115.37390460738845
engine_failure,single_redundancy,safe_mode,0.9171511759662998,88.85934604195842
structural_failure,dual_redundancy,abort,5.011586060907318,64.08826439545689
engine_failure,dual_redundancy,abort,9.343324148391703,91.98072330865044
guidance_failure,dual_redundancy,safe_mode,7.40983392063626,125.03866241599425
engine_failure,none,abort,3.732192508205162,93.72505881264462
guidance_failure,none,safe_mode,5.306990366020614,111.1670386070322
structural_failure,none,abort,7.831564600005134,66.86055781663174
structural_failure,none,safe_mode,9.522299254907818,73.39880391071368
structural_failure,single_redundancy,safe_mode,4.156372987130502,105.96201004885287
engine_failure,none,safe_mode,1.7327682818803647,84.92589765615566
structural_failure,single_redundancy,abort,0.9892573323173104,127.35383066858603
engine_failure,dual_redundancy,abort,5.112752957293183,62.233135872763484
guidance_failure,single_redundancy,safe_mode,1.4092458958237253,101.03180432753194
guidance_failure,single_redundancy,safe_mode,4.105478165258826,88.73333880939525
structural_failure,dual_redundancy,abort,7.1074187395264685,68.96373156775462
structural_failure,dual_redundancy,safe_mode,7.244245481434093,120.45105888440337
engine_failure,single_redundancy,safe_mode,7.172815076497756,92.98200148682895
structural_failure,none,safe_mode,8.186258911951974,129.5090567102521
structural_failure,single_redundancy,abort,1.480846320974123,100.50918257716538
guidance_failure,single_redundancy,safe_mode,9.352877301538554,107.28624498210178
guidance_failure,dual_redundancy,abort,2.4927051099158835,124.34397653891754
structural_failure,none,abort,2.321930258487992,108.7907121447956
engine_failure,none,land,4.348542744734888,79.52722782287267
guidance_failure,none,land,0.8367382133486923,71.7291970430124
structural_failure,single_redundancy,land,0.8104481915961603,65.66907942100278
structural_failure,single_redundancy,safe_mode,2.923666069390677,62.33488282006151
engine_failure,dual_redundancy,abort,6.416034501871193,74.3913690863998
guidance_failure,none,abort,1.7848216703742803,104.29983564811664
engine_failure,none,land,4.552853019085543,90.76047286235891
structural_failure,dual_redundancy,land,9.363377708593159,74.98495280166792
engine_failure,dual_redundancy,safe_mode,0.18515064635872047,75.3471600119025
engine_failure,none,safe_mode,4.562693825661281,89.63907416747554
engine_failure,none,safe_mode,8.483019159961657,88.36098756733347
structural_failure,dual_redundancy,land,7.1750143033224845,84.85501241802059
engine_failure,dual_redundancy,safe_mode,9.802387805918636,126.01764463807902
guidance_failure,none,abort,0.37769466976584454,80.20594183767913
engine_failure,single_redundancy,land,4.614137322372565,106.64439542164749
structural_failure,dual_redundancy,abort,8.782713823190877,113.57872880695575
engine_failure,single_redundancy,safe_mode,6.405850413237947,76.21087488689707
engine_failure,none,safe_mode,2.2238683036166087,95.16453587533073
guidance_failure,none,safe_mode,7.61687466381761,60.272876504406085
engine_failure,dual_redundancy,safe_mode,4.5645487054739275,67.79096974800066
engine_failure,none,abort,9.382507458631181,120.53279693917916
structural_failure,single_redundancy,land,0.4535338409707679,60.67993475317782
guidance_failure,none,land,2.67696585405416,114.3525432946852
engine_failure,none,land,0.07696626817370045,80.36584714183314
structural_failure,dual_redundancy,abort,2.0483959855677147,127.18141247566514
engine_failure,dual_redundancy,safe_mode,6.76335588857758,114.24511212063133
guidance_failure,single_redundancy,safe_mode,6.688915249894336,71.74903977150599
engine_failure,dual_redundancy,land,0.7879981678176873,64.17503844676742
engine_failure,dual_redundancy,safe_mode,1.2955857329876752,121.00513570022008
structural_failure,single_redundancy,abort,2.485890469410262,127.96504724825829
engine_failure,dual_redundancy,abort,2.51744145707495,129.51800208938127
engine_failure,dual_redundancy,safe_mode,0.1960753282790073,117.13088503089526
engine_failure,dual_redundancy,safe_mode,3.334223655721358,114.70479955498062
structural_failure,none,land,8.746794998896108,64.6080455512875
structural_failure,dual_redundancy,abort,3.516136730148655,114.07770792159839
structural_failure,none,safe_mode,8.216261048720794,95.89752201623297
engine_failure,none,safe_mode,9.410009606354159,86.50699626464214
guidance_failure,single_redundancy,land,5.768885040543678,72.4574335975995
structural_failure,dual_redundancy,safe_mode,2.9052089330877564,65.14027667943861
engine_failure,single_redundancy,abort,8.719545420454523,76.44643124606534
engine_failure,dual_redundancy,safe_mode,2.613260265281049,81.15793167643265
engine_failure,dual_redundancy,safe_mode,0.11651133661324975,81.79495561658489
structural_failure,dual_redundancy,land,8.946118496560619,97.0780266396191
guidance_failure,single_redundancy,safe_mode,6.405686510303626,106.7996125989026
engine_failure,dual_redundancy,land,0.010954888501274462,97.06200993364081
guidance_failure,dual_redundancy,land,0.26611529681246915,112.80738848026166
engine_failure,none,abort,1.383889662735811,116.83867540157135
guidance_failure,dual_redundancy,abort,8.096198744500068,125.28328626886834
structural_failure,single_redundancy,safe_mode,5.755749417366493,129.75244730204378
engine_failure,none,safe_mode,5.250373680937928,108.23511898630126
engine_failure,none,land,8.670831596243518,80.67525381647798
structural_failure,dual_redundancy,land,7.498383219028907,119.94050687661853
structural_failure,single_redundancy,abort,9.626598570635643,105.92158497532624
guidance_failure,none,safe_mode,5.937888964690493,105.90453492509863
structural_failure,dual_redundancy,abort,1.7563389047122269,69.920694574351
guidance_failure,none,safe_mode,9.147698222650785,98.98428682764174
guidance_failure,dual_redundancy,abort,9.366781887342931,66.13469280159902
engine_failure,single_redundancy,land,0.9972959466117537,125.39617215074067
structural_failure,dual_redundancy,land,9.274396122127147,69.38694142214733
structural_failure,single_redundancy,land,9.8458601180566,117.74187283707242
structural_failure,single_redundancy,land,5.320597891429263,112.17220040611919
guidance_failure,none,safe_mode,1.8486935693734319,63.57752437493183
engine_failure,dual_redundancy,safe_mode,4.634704949860808,92.92308507157212
structural_failure,single_redundancy,abort,1.5444379227906313,68.04145025828585
engine_failure,dual_redundancy,safe_mode,5.4567735429689375,98.05160304561842
structural_failure,dual_redundancy,land,5.0643160025357705,84.81785193821511
engine_failure,dual_redundancy,abort,5.947906579978868,81.46846379408706
guidance_failure,dual_redundancy,land,2.173051351414177,115.76000388348535
guidance_failure,none,abort,4.710615436907721,70.15876639829271
structural_failure,dual_redundancy,land,2.388157596374266,99.26907964199066
structural_failure,dual_redundancy,abort,6.160577721724887,124.75298529504764
guidance_failure,none,abort,4.7804004168192735,126.69485601135699
guidance_failure,none,safe_mode,4.277070487148103,110.01291046819037
guidance_failure,dual_redundancy,safe_mode,1.4272510070931355,99.32673046966676
guidance_failure,none,abort,6.232637193684795,70.98316217168573
guidance_failure,dual_redundancy,land,3.439178384862208,70.8559079472119
guidance_failure,none,safe_mode,2.5996005445951154,99.83856248053795
structural_failure,dual_redundancy,abort,2.984019891976616,117.13354047847545
structural_failure,none,safe_mode,2.02077375959775,86.63488321040705
structural_failure,dual_redundancy,safe_mode,5.001670191414656,64.10702448079913
structural_failure,dual_redundancy,land,0.5402296563591913,68.38932191982013
engine_failure,dual_redundancy,abort,1.1535952847042363,116.60401962616154
